image_path,sweep_joint,command_deg,split
images/q_zero.png,reference,0,reference
images/j2_fit_01.png,J2,-20,fit
images/j2_fit_02.png,J2,-10,fit
images/j2_fit_03.png,J2,0,fit
images/j2_fit_04.png,J2,10,fit
images/j2_fit_05.png,J2,20,fit
images/j2_validation_01.png,J2,-15,validation
images/j2_validation_02.png,J2,15,validation
images/j3_fit_01.png,J3,-20,fit
images/j3_fit_02.png,J3,-10,fit
images/j3_fit_03.png,J3,0,fit
images/j3_fit_04.png,J3,10,fit
images/j3_fit_05.png,J3,20,fit
images/j3_validation_01.png,J3,-15,validation
images/j3_validation_02.png,J3,15,validation
images/j4_fit_01.png,J4,-30,fit
images/j4_fit_02.png,J4,-15,fit
images/j4_fit_03.png,J4,0,fit
images/j4_fit_04.png,J4,15,fit
images/j4_fit_05.png,J4,30,fit
images/j4_validation_01.png,J4,-22.5,validation
images/j4_validation_02.png,J4,22.5,validation
